,Unnamed: 0,p1_tag,p1_trophy,p1_card_0_id,p1_card_0_lv,p1_card_1_id,p1_card_1_lv,p1_card_2_id,p1_card_2_lv,p1_card_3_id,p1_card_3_lv,p1_card_4_id,p1_card_4_lv,p1_card_5_id,p1_card_5_lv,p1_card_6_id,p1_card_6_lv,p1_card_7_id,p1_card_7_lv,p1_crowns,p2_tag,p2_trophy,p2_card_0_id,p2_card_0_lv,p2_card_1_id,p2_card_1_lv,p2_card_2_id,p2_card_2_lv,p2_card_3_id,p2_card_3_lv,p2_card_4_id,p2_card_4_lv,p2_card_5_id,p2_card_5_lv,p2_card_6_id,p2_card_6_lv,p2_card_7_id,p2_card_7_lv,p2_crowns,winner
0,0,#CYURCLQ,6916,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,3,#UUQ9ULJG,6920,26000020,9,27000001,12,28000004,9,26000083,6,26000069,4,26000012,9,28000006,9,28000000,12,0,1
1,1,#CYURCLQ,6890,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#2QPGR8Q8C,6847,26000069,4,26000055,6,26000020,9,26000040,12,26000049,14,28000004,9,26000012,9,26000026,6,0,1
2,2,#CYURCLQ,6925,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,0,#GVPVG2,6858,26000028,12,26000059,12,26000044,9,28000016,12,26000038,12,26000050,6,26000074,4,28000015,9,1,2
3,3,#CYURCLQ,6894,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#22RPLGGJ9,6912,26000011,12,26000025,9,28000004,9,26000026,6,26000084,14,28000011,6,28000003,12,27000003,12,0,1
4,4,#CYURCLQ,6866,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#PL2J0QLRR,6851,28000015,9,28000016,12,26000074,4,26000044,9,26000028,12,26000059,12,26000050,6,26000038,12,0,1
5,5,#CYURCLQ,6840,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,2,#2QRQP02PU,6805,26000063,9,28000000,12,28000001,14,26000043,14,26000068,12,28000002,9,26000067,12,26000048,6,1,1
6,6,#CYURCLQ,6811,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,3,#9Y0JYGQLV,6806,28000004,9,26000026,6,26000011,12,26000030,14,28000003,12,27000003,12,26000025,9,28000011,6,0,1
7,7,#CYURCLQ,6782,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#28QR999VG,6778,27000008,9,26000001,14,26000084,14,26000010,14,26000000,14,28000000,12,28000011,6,27000006,14,0,1
8,8,#CYURCLQ,6753,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#PLL0GRQL9,6752,26000037,6,26000035,6,28000012,9,28000005,9,26000063,9,28000015,9,26000034,9,26000006,9,0,1
9,9,#CYURCLQ,6725,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#QV2RRGYP,6713,26000025,9,26000032,6,28000011,6,26000072,4,26000031,14,27000002,14,28000000,12,26000011,12,0,1
10,10,#CYURCLQ,6696,27000002,14,26000069,4,28000011,6,26000032,6,26000049,14,26000019,14,26000012,9,28000000,12,1,#PUC9L8L,6686,26000019,14,27000004,12,26000011,12,26000058,9,28000012,9,28000011,6,26000032,6,26000062,6,0,1
11,11,#892CRJU9,6881,26000040,12,26000012,9,27000013,9,28000011,6,27000003,12,26000058,9,26000069,4,28000000,12,1,#8GP2VV90,6817,26000049,14,26000032,6,27000002,14,26000014,12,28000009,9,26000012,9,26000069,4,28000011,6,0,1
